IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
WHOSIS_000003,Neonatal mortality rate (per 1000 live births),text,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2023,true,Sex,Both sexes,SEX_BTSX,Age Group,0-27 days,AGEGROUP_DAYS0-27,,,,,,,34.29,,,26.06,,45.05,34.3 [26.1-45.0],,,EN,2025-04-14T18:30:00.000Z
CM_03,Number of neonatal deaths,numeric,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2023,true,Sex,Both sexes,SEX_BTSX,Age Group,0-27 days,AGEGROUP_DAYS0-27,,,,,,,50351,,,38265,,66134,50 351 [38 265-66 134],,,EN,2025-04-14T18:30:00.000Z
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2023,true,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,50.36,,,38.49,,65.96,50.4 [38.5-66.0],,,EN,2025-04-14T18:30:00.000Z
CM_02,Number of infant deaths,numeric,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2023,true,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,73191,,,56034,,95622,73 191 [56 034-95 622],,,EN,2025-04-14T18:30:00.000Z
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2023,true,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Q5 (Richest),WEALTHQUINTILE_WQ5,,,,39.72,,,29.54,,53.65,39.7 [29.5-53.6],,,EN,2025-04-14T18:30:00.000Z
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2023,true,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Q4,WEALTHQUINTILE_WQ4,,,,50.23,,,37.62,,66.71,50.2 [37.6-66.7],,,EN,2025-04-14T18:30:00.000Z
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2023,true,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Total,WEALTHQUINTILE_TOTL,,,,55.51,,,42.42,,72.7,55.5 [42.4-72.7],,,EN,2025-04-14T18:30:00.000Z
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2023,true,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Q3,WEALTHQUINTILE_WQ3,,,,57.87,,,43.81,,75.88,57.9 [43.8-75.9],,,EN,2025-04-14T18:30:00.000Z
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2023,true,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Q2,WEALTHQUINTILE_WQ2,,,,62.86,,,47.41,,82.95,62.9 [47.4-82.9],,,EN,2025-04-14T18:30:00.000Z
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2023,true,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Q1 (Poorest),WEALTHQUINTILE_WQ1,,,,66.85,,,50.22,,88.59,66.9 [50.2-88.6],,,EN,2025-04-14T18:30:00.000Z
